1	2	counts	3	4	label	connections	colour	id	idx	p1	p2	p1p2
776	775	533	Students	Younger Participants	Students Younger Participants	776 775	#a2528b	561	599	0.9500891265597148	0.8898163606010017	0.8454048488419499
776	775	409	Low GK Confidence	Younger Participants	Low GK Confidence Younger Participants	776 775	#4d8c61	519	599	0.7880539499036608	0.6828046744574291	0.5380869207188603
777	774	399	Younger Participants	Low GK Score	Younger Participants Low GK Score	777 774	#3023a5	599	496	0.666110183639399	0.8044354838709677	0.5358426678873391
776	774	382	Students	Low GK Confidence	Students Low GK Confidence	776 774	#a1dde1	561	519	0.6809269162210339	0.7360308285163777	0.5011832023052697
776	774	381	Students	Low GK Score	Students Low GK Score	776 774	#6606aa	561	496	0.679144385026738	0.7681451612903226	0.5216814731757806
777	774	379	Younger Participants	Female Participants	Younger Participants Female Participants	777 774	#92ff0a	599	497	0.6327212020033389	0.7625754527162978	0.48249765706089626
776	774	368	Low GK Confidence	Low GK Score	Low GK Confidence Low GK Score	776 774	#d8ba65	519	496	0.7090558766859345	0.7419354838709677	0.526073714960532
776	774	354	Students	Female Participants	Students Female Participants	776 774	#64cf63	561	497	0.6310160427807486	0.7122736418511066	0.44945609485791754
776	774	336	Low GK Confidence	Female Participants	Low GK Confidence Female Participants	776 774	#864661	519	497	0.6473988439306358	0.676056338028169	0.4376780916714158
781	780	334	I am concerned my data will be used for other purposes without my knowledge	I am worried some information about my physical or mental health could be used against me for example employment; legal matters; obtaining insurance	I am concerned my data will be used for other purposes without my knowledge I am worried some information about my physical or mental health could be used against me for example employment; legal matters; obtaining insurance	781 780	#f7188a	498	448	0.6706827309236948	0.7455357142857143	0.5000179288582903
776	774	323	Female Participants	Low GK Score	Female Participants Low GK Score	776 774	#653bb9	497	496	0.6498993963782697	0.6512096774193549	0.42322077627052646
776	775	311	Two legal guardians need to agree	Younger Participants	Two legal guardians need to agree Younger Participants	776 775	#7b1e49	404	599	0.7698019801980198	0.5191986644407346	0.3996801600026447
776	775	297	Do not know who will have access to that information	Younger Participants	Do not know who will have access to that information Younger Participants	776 775	#e7420e	383	599	0.7754569190600522	0.4958263772954925	0.3844919949262696
776	774	292	Non Law Students	Students	Non Law Students Students	776 774	#1adffb	292	561	1.0	0.5204991087344029	0.5204991087344029
776	774	291	Two legal guardians need to agree	Students	Two legal guardians need to agree Students	776 774	#191766	404	561	0.7202970297029703	0.5187165775401069	0.3736300100598295
777	775	285	Agree to Revising and Updating	Younger Participants	Agree to Revising and Updating Younger Participants	777 775	#1364d2	353	599	0.8073654390934845	0.4757929883138564	0.3841388149276178
776	774	277	Two legal guardians need to agree	Low GK Confidence	Two legal guardians need to agree Low GK Confidence	776 774	#4111b0	404	519	0.6856435643564357	0.5337186897880539	0.3659407848299281
776	774	277	Do not know who will have access to that information	Students	Do not know who will have access to that information Students	776 774	#157402	383	561	0.7232375979112271	0.49376114081996436	0.35710662142853816
777	775	275	Medium Concern	Younger Participants	Medium Concern Younger Participants	777 775	#7a5d6a	348	599	0.7902298850574713	0.4590984974958264	0.36279335290618464
