Variable	Description	Option	Option	Group
LE5.012	What is a genome?	Gene expression	Gene expression	100
LE5.012	What is a genome?	A sex chromosome	A sex chromosome	100
LE5.012	What is a genome?	Correct - The entire sequence of DNA of an individual	Correct - The entire sequence of DNA of an individual	100
LE5.012	What is a genome?	All the genes in the DNA	All the genes in the DNA	100
LE5.013	Which of the following 4 letter groups represent the 	LFWE	LFWE	101
LE5.013	Which of the following 4 letter groups represent the 	GPHO	GPHO	101
LE5.013	Which of the following 4 letter groups represent the 	HTPR	HTPR	101
LE5.013	Which of the following 4 letter groups represent the 	Correct - GCTA	Correct - GCTA	101
LE5.017	On average, how much of their total DNA is the same in two people selected at random?	75 percent	75 percent	102
LE5.017	On average, how much of their total DNA is the same in two people selected at random?	Correct – More than 99 percent	Correct – More than 99 percent	102
LE5.017	On average, how much of their total DNA is the same in two people selected at random?	Less than 50 percent	Less than 50 percent	102
LE5.017	On average, how much of their total DNA is the same in two people selected at random?	90 percent	90 percent	102
LE5.018	Genetic contribution to the risk of developing Schizophernia comes from -	Correct – Many genes	Correct – Many genes	103
LE5.018	Genetic contribution to the risk of developing Schizophernia comes from -	One gene	One gene	103
LE5.024	The DNA sequence in two different cells, for example a neuron and a heart cell, of one person, is -	Entirely different	Entirely different	104
LE5.024	The DNA sequence in two different cells, for example a neuron and a heart cell, of one person, is -	About 50 percent the same	About 50 percent the same	104
LE5.024	The DNA sequence in two different cells, for example a neuron and a heart cell, of one person, is -	More than 90 percent the same	More than 90 percent the same	104
LE5.024	The DNA sequence in two different cells, for example a neuron and a heart cell, of one person, is -	Correct – One hundred percent identical	Correct – One hundred percent identical	104
LE5.030	Some of the genes that relate to dyslexia also relate to ADHD -	False	False	105
LE5.030	Some of the genes that relate to dyslexia also relate to ADHD -	Correct - True	Correct - True	105
LE5.031	If a report states ‘the heritability of insomnia is approximately 30 percent what would that mean?	Correct – Genetic influences account for approximately thirty percent of differences between people in insomnia	Correct – Genetic influences account for approximately thirty percent of differences between people in insomnia	106
LE5.031	If a report states ‘the heritability of insomnia is approximately 30 percent what would that mean?	Approximately thirty percent of people will experience insomnia at some point in their lives	Approximately thirty percent of people will experience insomnia at some point in their lives	106
LE5.031	If a report states ‘the heritability of insomnia is approximately 30 percent what would that mean?	If someone has insomnia this is approximately this is approximately thirty percent due to their genes	If someone has insomnia this is approximately this is approximately thirty percent due to their genes	106
LE5.031	If a report states ‘the heritability of insomnia is approximately 30 percent what would that mean?	There is an approximately 30 percent chance that someone will pass insomnia onto their children	There is an approximately 30 percent chance that someone will pass insomnia onto their children	106
Class_X	GK Score	High GK Score	High GK Score	107
Class_X	GK Score	Low GK Score	Low GK Score	107
Class_X	Gender	Male Participants	Male Participants	108
Class_X	Gender	Female Participants	Female Participants	108
Class_X	Age	Younger Participants	Younger Participants	109
Class_X	Age	Older Participants	Older Participants	109
Class_X	Confidence in GK	High GK Confidence	High GK Confidence	110
Class_X	Confidence in GK	Low GK Confidence	Low GK Confidence	110
Class_X	Related/ Not related to law	Participants related to law	Participants related to law	111
Class_X	Related/ Not related to law	Participants not related to law	Participants not related to law	111
Class_X	Students/ Non Students	Students	Students	112
Class_X	Law or Non Law Students and Non Students	Law Students	Law Students	113
Class_X	Law or Non Law Students and Non Students	Non Law Students	Non Law Students	113
Class_X	Law or Non Law Students and Non Students	Not Students	Not Students	113
Class_X	Concern	High Concern	High Concern	114
Class_X	Concern	Low Concern	Low Concern	114
Class_X	Concern	Medium Concern	Medium Concern	114
Class_X	Genetic Curiosity	High Genetic Curiosity	High Genetic Curiosity	115
Class_X	Genetic Curiosity	Medium Genetic Curiosity	Medium Genetic Curiosity	115
Class_X	Genetic Curiosity	Low Genetic Curiosity	Low Genetic Curiosity	115
LE3.045	Please indicate whether the following endeavours have positive negative or no impact on society	Disease prevention and cure Negative	Disease prevention and cure Negative	116
LE3.066	Genetic science can contribute to the following social changes. Indicate whether you consider these endeavours positive neutral or negative for society 	Disease prevention and cure None	Disease prevention and cure None	117
LE3.066	Genetic science can contribute to the following social changes. Indicate whether you consider these endeavours positive neutral or negative for society 	Disease prevention and cure Positive	Disease prevention and cure Positive	117
LE3.067	Genetic science can contribute to the following social changes. Indicate whether you consider these endeavours positive neutral or negative for society 	Improving fairness in criminal trials Negative	Improving fairness in criminal trials Negative	117
